2015-03-12 11:56:05 t: 2.032803e+002, dt: 6.458617e-002, dT_cpu: 1.234e+000 s, dT_avg: 7.108e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:10 t: 2.080229e+002, dt: 1.179384e+000, dT_cpu: 5.470e-001 s, dT_avg: 7.080e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:15 t: 2.110272e+002, dt: 1.084779e-001, dT_cpu: 9.690e-001 s, dT_avg: 7.106e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:20 t: 2.120259e+002, dt: 2.865568e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.092e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:25 t: 2.143361e+002, dt: 4.806556e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.080e-001 s, Nc:     0, Nce:   120, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:31 t: 2.238912e+002, dt: 1.734592e+000, dT_cpu: 4.840e-001 s, dT_avg: 7.046e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:36 t: 2.261623e+002, dt: 1.541552e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.074e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:42 t: 2.284649e+002, dt: 6.051352e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.041e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:47 t: 2.356085e+002, dt: 1.896725e-001, dT_cpu: 1.407e+000 s, dT_avg: 7.056e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:53 t: 2.413489e+002, dt: 1.504730e+000, dT_cpu: 4.840e-001 s, dT_avg: 7.024e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:56:58 t: 2.427020e+002, dt: 1.073942e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.051e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:57:04 t: 2.451351e+002, dt: 6.815600e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.032e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:57:09 t: 2.477718e+002, dt: 1.186079e-001, dT_cpu: 9.370e-001 s, dT_avg: 7.050e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:57:14 t: 2.493239e+002, dt: 2.230567e-001, dT_cpu: 9.370e-001 s, dT_avg: 7.043e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:57:20 t: 2.507003e+002, dt: 6.041092e-001, dT_cpu: 4.850e-001 s, dT_avg: 7.036e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:57:25 t: 2.606100e+002, dt: 9.685269e-001, dT_cpu: 9.370e-001 s, dT_avg: 7.042e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:57:30 t: 2.621145e+002, dt: 8.815165e-002, dT_cpu: 9.380e-001 s, dT_avg: 7.066e-001 s, Nc:     0, Nce:   124, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
